id,type,category,categoryName,title,cover,bilibiliSrc,audioSrc,episodeDate,duration,desc,activity,credits
32,video,campus,校园传媒,【歌曲】再见 | 苏州中学2025届毕业典礼节目,covers/ab0242fb2d58c1db7628d019fa04d05254758714.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114733474645549&bvid=BV1H8KhzRE31&cid=30659250028&p=1,,2025年06月24日,3:06,,,
33,video,campus,校园传媒,【合唱】明天会更好 | 苏州中学2025届毕业典礼节目,covers/75c95479cd43b205b74f73bc1db8524b49b630dc.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114732702958881&bvid=BV1PmKazAErv&cid=30653156589&p=1,,2025年06月23日,5:20,,,
34,video,campus,校园传媒,【班级快闪】苏州中学2025届毕业典礼节目,covers/d05a2d939de1abdc4aa58c4f01760e02064926e3.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114731662707917&bvid=BV1vFKhzLECQ&cid=30655907296&p=1,,2025年06月23日,18:22,,,
35,video,campus,校园传媒,【舞蹈】红楼梦 | 苏州中学2025届毕业典礼节目,covers/ca441988329c981c425e1bcd507f5eb2ba06de0f.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114729850766598&bvid=BV1BUKxzTELt&cid=30645290397&p=1,,2025年06月23日,6:11,,,
36,video,campus,校园传媒,《大梦一场》高一14班决赛作品|苏州中学2025校园心理剧,covers/749e48b38edd9f5e04254a95a33e01c5ea28f0b5.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114566876891800&bvid=BV1dkjMzCEoH&cid=30140337992&p=1,,2025年05月25日,11:29,"苏州中学2025校园心理剧冠军作品

本次比赛的主题是卷躺之间。卷和躺是当代学生生活不可分割的两部分，作为学生的我们已改如何看待它们的关系？希望高一14班的作品能带给你不一样的视角。",,
37,video,campus,校园传媒,【树莓播报】苏州中学高一上海天文馆之旅,covers/193e133af9575a165fa765a387782ac8a3f2c60f.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114454570273625&bvid=BV1vqV6z4EZ4&cid=29803679090&p=1,,2025年05月05日,10:29,"摄影：苏州中学树莓社
后期：苏州中学树莓社
策划：苏州中学高一年级部",,
38,video,original,原创作品,【是】2026届8班节目单品｜苏州中学校园原创音乐大赛,covers/8f16fb82109245cf6d30cf3fb32aa547949301e8.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114454536652332&bvid=BV1pHV6zqEdJ&cid=29803611943&p=1,,2025年05月05日,3:05,"2025年3月26日下午，一年一度的苏中高二原创歌曲大赛圆满举行，本次活动的主题为“府学华章续新篇，勇毅前行筑未来”。树莓社（后期部）开展多机位节目制作实践活动。

策划：苏州中学高二年级部
出品：苏州中学树莓社
导播：黄思博
副导播：虞思辰
制片：周熠嘉、徐米扬
摄影指导：殷祥宸
摄像：沙容平、王嫣然、许楚晗、张宇江、潘言、徐米扬、顾凯文
摄像助理：杨梓言、郑楚琨、吉隽禾
图片摄影：张虞恒、姚晨昱、张家嘉、殷祥宸
数据安全监督：殷祥宸、张宇江
后期制作：沈孙丰
发布：余俊
监制：沈孙丰
技术指导：顾衡庭、沈孙丰、章天任、虞思辰
特别鸣谢：苏州中学学生处",,
39,video,original,原创作品,【时光景下的四季回响】2026届6班节目单品｜苏州中学校园原创音乐大赛,covers/73fe22cdbde53f368382db36ecee38114921e851.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114454503162077&bvid=BV1yEV6zzEd5&cid=29803545882&p=1,,2025年05月05日,2:37,"2025年3月26日下午，一年一度的苏中高二原创歌曲大赛圆满举行，本次活动的主题为“府学华章续新篇，勇毅前行筑未来”。树莓社（后期部）开展多机位节目制作实践活动。

策划：苏州中学高二年级部
出品：苏州中学树莓社
导播：黄思博
副导播：虞思辰
制片：周熠嘉、徐米扬
摄影指导：殷祥宸
摄像：沙容平、王嫣然、许楚晗、张宇江、潘言、徐米扬、顾凯文
摄像助理：杨梓言、郑楚琨、吉隽禾
图片摄影：张虞恒、姚晨昱、张家嘉、殷祥宸
数据安全监督：殷祥宸、张宇江
后期制作：沈孙丰
发布：余俊
监制：沈孙丰
技术指导：顾衡庭、沈孙丰、章天任、虞思辰
特别鸣谢：苏州中学学生处",,
40,video,original,原创作品,【衔梦晴空下】2026届1班节目单品｜苏州中学校园原创音乐大赛,covers/44a9209abbe33d450314bb3e2a7b87baa0c72019.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114268594768886&bvid=BV1MDfNYnEwu&cid=29201925855&p=1,,2025年04月02日,3:03,"2025年3月26日下午，一年一度的苏中高二原创歌曲大赛圆满举行，本次活动的主题为“府学华章续新篇，勇毅前行筑未来”。树莓社（后期部）开展多机位节目制作实践活动。

策划：苏州中学高二年级部
出品：苏州中学树莓社
导播：黄思博
副导播：虞思辰
制片：周熠嘉、徐米扬
摄影指导：殷祥宸
摄像：沙容平、王嫣然、许楚晗、张宇江、潘言、徐米扬、顾凯文
摄像助理：杨梓言、郑楚琨、吉隽禾
图片摄影：张虞恒、姚晨昱、张家嘉、殷祥宸
数据安全监督：殷祥宸、张宇江
后期制作：沈孙丰
发布：余俊
监制：沈孙丰
技术指导：顾衡庭、沈孙丰、章天任、虞思辰
特别鸣谢：苏州中学学生处",,
41,video,original,原创作品,【不一般的梦】2026届11班节目单品｜苏州中学校园原创音乐大赛,covers/dccfd08250e9c758e6edbdeb300421cec4e25c28.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114268577992281&bvid=BV1KQfNYSEo9&cid=29201731214&p=1,,2025年04月02日,3:22,"2025年3月26日下午，一年一度的苏中高二原创歌曲大赛圆满举行，本次活动的主题为“府学华章续新篇，勇毅前行筑未来”。树莓社（后期部）开展多机位节目制作实践活动。

策划：苏州中学高二年级部
出品：苏州中学树莓社
导播：黄思博
副导播：虞思辰
制片：周熠嘉、徐米扬
摄影指导：殷祥宸
摄像：沙容平、王嫣然、许楚晗、张宇江、潘言、徐米扬、顾凯文
摄像助理：杨梓言、郑楚琨、吉隽禾
图片摄影：张虞恒、姚晨昱、张家嘉、殷祥宸
数据安全监督：殷祥宸、张宇江
后期制作：沈孙丰
发布：余俊
监制：沈孙丰
技术指导：顾衡庭、沈孙丰、章天任、虞思辰
特别鸣谢：苏州中学学生处",,
